id,title,department,location,close_date,scrape_date
20715,Midwifery Consultant,"Health & Social Services - Community Health, Community Nursing Management","Whitehorse, YT, CA Y1A 2C6",2020-05-25,NA
20688,Director - Community Relations and Engagement,Education - Community Relations & Engagement,"Whitehorse, YT, CA Y1A 2C6",2020-03-13,NA
20723,Senior Transportation Planner,Highways & Public Works - TPB Administration for HPW-Transportation Planning Branch,"Whitehorse, YT, CA Y1A 2C6",2020-03-12,NA
20748,Cook,Health & Social Services - MWSU – Program Management,"Whitehorse, YT, CA Y1A 2C6",2020-03-06,NA
20692,Yukon Beringia Interpretive Centre Guide,Tourism & Culture - Yukon Beringia Interpretive Centre,"Whitehorse, YT, CA Y1A 2C6",2020-03-05,NA
20720,Senior Policy Advisor,Yukon Development Corp - Program Delivery,"Whitehorse, YT, CA Y1A 2C6",2020-03-05,NA
20766,Coordinator - Teacher Recruitment,Education - Human Resources.,"Whitehorse, YT, CA Y1A 2C6",2020-03-05,NA
20667,Clinical Counsellor - Mental Wellness & Substance Use,Health & Social Services - Mental Wellness and Substance Use – Client Services,"Whitehorse, YT, CA Y1A 2C6",2020-03-12,NA
20759,Physiotherapist,"Health & Social Services - Intermediate and Community Care, Therapies - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-05-25,NA
20607,Manager - Court Services,Justice - Supreme & Territorial Courts,"Whitehorse, YT, CA Y1A 2C6",2020-03-05,NA
20609,Primary Health Care Nurse,Health & Social Services - Community Nursing,"Carcross, YT, CA Y0B 1B0Carmacks, YT, CA Y0B 1C0Faro, YT, CA Y0B 1K0Haines Junction, YT, CA Y0B 1L0Mayo, YT, CA Y0B 1M0Old Crow, YT, CA Y0B 1N0Pelly Crossing, YT, CA Y0B 1P0Ross River, YT, CA Y0B 1S0Teslin, YT, CA Y0A 1B0Whitehorse, YT, CA Y1A 2C6 (Primary)",2020-05-12,NA
20491,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Carcross Health Centre","Carcross, YT, CA Y0B 1B0",2020-05-04,NA
20224,Administrative Assistant,YG - Yukon Government,"Beaver Creek, YT, CA Y0B 1A0Carcross, YT, CA Y0B 1B0Carmacks, YT, CA Y0B 1C0Dawson City, YT, CA Y0B 1G0Faro, YT, CA Y0B 1K0Haines Junction, YT, CA Y0B 1L0Mayo, YT, CA Y0B 1M0Old Crow, YT, CA Y0B 1N0Pelly Crossing, YT, CA Y0B 1P0Ross River, YT, CA Y0B 1S0Teslin, YT, CA Y0A 1B0Watson Lake, YT, CA Y0A 1C0Whitehorse, YT, CA Y1A 2C6 (Primary)",2020-04-30,NA
20320,Nurse Practitioner,"Health & Social Services - Community Nursing, Mayo Health Centre","Mayo, YT, CA Y0B 1M0",2020-04-30,NA
20301,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Ross River Health Centre","Ross River, YT, CA Y0B 1S0",2020-04-24,NA
20183,Human Resource Consultant I&II,YG - Yukon Government,"Whitehorse, YT, CA Y1A 2C6",2020-04-30,NA
20008,Primary Health Care Nurse,"Health & Social Services - Community Nursing, Faro Health Centre","Faro, YT, CA Y0B 1K0",2020-04-13,NA
19937,Administrative - Library Clerk,Education - School Clerical Support,"Old Crow, YT, CA Y0B 1N0",2020-04-09,NA
19905,Youth Engagement Worker,"Health & Social Services - F&CS Residential Services, Residential Youth Treatment","Whitehorse, YT, CA Y1A 2C6",2020-04-07,NA
19796,Community Health Nurse,"Health & Social Services - Community Nursing, Dawson City Health Centre","Dawson City, YT, CA Y0B 1G0",2020-03-24,NA
19700,Primary Health Care Nurse,Health & Social Services - Community Nursing,"Whitehorse, YT, CA Y1A 2C6",2020-03-19,NA
19490,Support Worker,Health & Social Services - Housing and Community Outreach Services,"Whitehorse, YT, CA Y1A 2C6",2020-03-09,NA
21030,Manager - Policy and Program Support,"Energy, Mines & Resources - Lands Program & Policy Support","Whitehorse, YT, CA Y1A 2C6",2020-03-27,NA
21057,Family Information and Liaison and Policy Advisor,Justice - Victim Services - Operations,"Whitehorse, YT, CA Y1A 2C6",2020-03-24,NA
21065,Communications Officer,Community Services - Protective Services - Fire Management - Pre-Suppression,"Whitehorse, YT, CA Y1A 2C6",2020-03-24,NA
20979,Primary Care Paramedic,Community Services - Protective Services - Emergency Medical Services - Emergency Medical Services-Whitehorse,"Whitehorse, YT, CA Y1A 2C6",2020-03-24,NA
21061,Heavy Equipment Operator II,Highways & Public Works - TM - Payroll Suspence,"Blanchard, YT, CA Y0B 1L0",2020-03-24,NA
21063,Social Worker - Adoption,"Health & Social Services - Placement and Support, Adoption","Whitehorse, YT, CA Y1A 2C6",2020-06-10,NA
21106,Network Administrator,"Executive Council Office - Finance, Administration & Systems","Whitehorse, YT, CA Y1A 2C6",2020-03-30,NA
20667,Clinical Counsellor - Mental Wellness & Substance Use,Health & Social Services - Mental Wellness and Substance Use – Client Services,"Whitehorse, YT, CA Y1A 2C6",2020-03-26,NA
21129,Heavy Equipment Operator I,Highways & Public Works - TM - Payroll Suspence,"Haines Junction, YT, CA Y0B 1L0",2020-03-26,NA
21128,Director - Cultural Services,Tourism & Culture - Cultural Services Directorate,"Whitehorse, YT, CA Y1A 2C6",2020-04-02,NA
21136,eServices Delivery Manager,Highways & Public Works - ICT - e-SERVICES,"Whitehorse, YT, CA Y1A 2C6",2020-03-27,NA
21133,Director - Corporate Policy,Community Services - Corp Policy & Consumer Affairs - Policy - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-03-27,NA
21165,Environmental Assessment Coordinator,Environment - ENV-MC-Environmental Assess,"Whitehorse, YT, CA Y1A 2C6",2020-03-27,NA
21149,Community Mental Health Nurse,Health & Social Services - MWSU – Regional South – Watson Lake Hub,"Haines Junction, YT, CA Y0B 1L0Watson Lake, YT, CA Y0A 1C0 (Primary)",2020-06-12,NA
21185,HRMS Analyst,Public Service Commission - Human Resources Management Systems,"Whitehorse, YT, CA Y1A 2C6",2020-03-27,NA
21169,Park Attendant,Environment - ENV-NR-Parks Compliance Checks,"Watson Lake, YT, CA Y0A 1C0",2020-03-30,NA
20980,First Nation Relations and Community Advisor,"Energy, Mines & Resources - CMI Program Standards, Planning and Monitoring","Whitehorse, YT, CA Y1A 2C6",2020-03-27,NA
21252,Program Manager Whitehorse Emergency Shelter,Health & Social Services - Housing and Community Outreach Services,"Whitehorse, YT, CA Y1A 2C6",2020-04-09,NA
21309,Supervisor Whitehorse Emergency Shelter,Health & Social Services - Housing and Community Outreach Services,"Whitehorse, YT, CA Y1A 2C6",2020-04-09,NA
21321,Social Worker,"Health & Social Services - Continuing Care, Admin, Whistle Bend Care Facility","Whitehorse, YT, CA Y1A 2C6",2020-04-06,NA
21133,Director - Corporate Policy,Community Services - Corp Policy & Consumer Affairs - Policy - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-04-17,NA
20879,Nursing Home Attendant,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-04-27,NA
21434,Senior Building Program Manager,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-04-16,NA
21434,Senior Building Program Manager,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-04-21,NA
21327,Compliance Officer,Highways & Public Works - TS - Weigh Scales,"Whitehorse, YT, CA Y1A 2C6",2020-04-17,NA
21503,Systems and Administration Coordinator,"Health & Social Services - Continuing Care, Admin Copper Ridge Place","Whitehorse, YT, CA Y1A 2C6",2020-04-17,NA
21473,Project Manager,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-04-27,NA
21587,Intake Coordinator Admission and Assessment,"Health & Social Services - Intermediate and Community Care, Admin - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-04-22,NA
21605,Home Care RN,"Health & Social Services - Intermediate and Community Care, Professional Services - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-07-03,NA
21578,Registered Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-04-22,NA
21608,Heavy Equipment Mechanic,Highways & Public Works - TM - Garage Operations Trade,"Whitehorse, YT, CA Y1A 2C6",2020-04-23,NA
21665,Head - Accounting Operations,"Energy, Mines & Resources - Finance","Whitehorse, YT, CA Y1A 2C6",2020-04-28,NA
21719,Labour Relations Advisor,Public Service Commission - Employee Relations - Labour Relations,"Whitehorse, YT, CA Y1A 2C6",2020-04-28,NA
21362,Residential Care Worker,"Health & Social Services - F&CS Residential Services, Residential Youth Treatment","Whitehorse, YT, CA Y1A 2C6",2020-07-15,NA
21742,Social Worker,"Health & Social Services - Family and Child Services, Child Protection","Whitehorse, YT, CA Y1A 2C6",2020-04-29,NA
21133,Director - Corporate Policy,Community Services - Corp Policy & Consumer Affairs - Policy - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-05-01,NA
21805,Social Worker,Health & Social Services - Mental Wellness and Substance Use – Client Services,"Whitehorse, YT, CA Y1A 2C6",2020-05-01,NA
21883,Senior Advisor on Missing and Murdered Indigenous Women and Girls,Women's Directorate - Women's Directorate,"Whitehorse, YT, CA Y1A 2C6",2020-05-06,NA
21873,Accounts Payable Clerk,Environment - Financial Services,"Whitehorse, YT, CA Y1A 2C6",2020-05-06,NA
21953,Human Resource Service Representative,Public Service Commission - Human Resources Shared Services,"Whitehorse, YT, CA Y1A 2C6",2020-05-11,NA
22005,Superintendent,Justice - Whitehorse Correctional Centre,"Whitehorse, YT, CA Y1A 2C6",2020-07-29,NA
22015,Nursing Home Attendant,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-05-29,NA
22018,Senior Consultation Advisor,Executive Council Office - Policy & Consultation,"Whitehorse, YT, CA Y1A 2C6",2020-05-20,NA
22033,Custodial Worker,"Health & Social Services - Community Nursing, Old Crow Health Centre","Old Crow, YT, CA Y0B 1N0",2020-06-01,NA
22091,Social Worker,"Health & Social Services - Continuing Care, Admin, Whistle Bend Care Facility","Whitehorse, YT, CA Y1A 2C6",2020-05-15,NA
22124,Director - Respectful Workplace Office,Public Service Commission - Employee Relations - Respectful Workplace Office,"Whitehorse, YT, CA Y1A 2C6",2020-05-20,NA
22152,Manager - Corporate Health and Safety,"Public Service Commission - Employee Relations - Health, Safety & Well Being","Whitehorse, YT, CA Y1A 2C6",2020-05-28,NA
22156,Occupational Therapist,"Health & Social Services - Intermediate and Community Care, Therapies - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-08-07,NA
22160,Adult French Language Instructor,French Language Services Directorate,"Whitehorse, YT, CA Y1A 2C6",2020-05-22,NA
22170,Home Care RN,"Health & Social Services - Intermediate and Community Care, Professional Services - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-08-07,NA
22171,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Carcross Health Centre","Carcross, YT, CA Y0B 1B0",2020-05-25,NA
22196,Superintendent,Education - Superintendents' Office,"Whitehorse, YT, CA Y1A 2C6",2020-05-26,NA
22225,Support Services Manager,"Health & Social Services - Community Health, Community Nursing Management","Whitehorse, YT, CA Y1A 2C6",2020-05-27,NA
22235,Managing Counsel - Litigation Group,Justice - Litigation Group,"Whitehorse, YT, CA Y1A 2C6",2020-06-03,NA
22239,Manager - Liquor Store and Territorial Agent Services,Yukon Liquor Corporation - Dawson Liquor Store,"Dawson City, YT, CA Y0B 1G0",2020-05-27,NA
22261,Community Health Nurse,"Health & Social Services - Community Nursing, Dawson City Health Centre","Dawson City, YT, CA Y0B 1G0",2020-08-14,NA
22194,Building Maintenance Engineer,Highways & Public Works - Western Region,"Haines Junction, YT, CA Y0B 1L0",2020-05-28,NA
22250,District Conservation Officer,Environment - ENV-MC-Regional Ops North,"Mayo, YT, CA Y0B 1M0",2020-05-28,NA
22257,Warehouse Worker,Yukon Liquor Corporation - Distribution,"Whitehorse, YT, CA Y1A 2C6",2020-05-27,NA
22302,Licensed Practical Nurse,Justice - Whitehorse Correctional Centre,"Whitehorse, YT, CA Y1A 2C6",2020-06-01,NA
22289,Building Engineer,Highways & Public Works - Central Region,"Whitehorse, YT, CA Y1A 2C6",2020-06-02,NA
22305,Director - Capital Development,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-06-09,NA
22304,Disability Accommodation Consultant,"Public Service Commission - Employee Relations - Health, Safety & Well Being","Whitehorse, YT, CA Y1A 2C6",2020-06-02,NA
22324,Project Manager - User Experience,Highways & Public Works - ICT - e-Services,"Whitehorse, YT, CA Y1A 2C6",2020-06-17,NA
22305,Director - Capital Development,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-06-30,NA
22352,Director - Finance and Risk Management,"Yukon Housing Corporation - Finance, Systems & Administration","Whitehorse, YT, CA Y1A 2C6",2020-06-04,NA
22235,Managing Counsel - Litigation Group,Justice - Litigation Group,"Whitehorse, YT, CA Y1A 2C6",2020-06-10,NA
22258,Network Administrator,Highways & Public Works - Information Management,"Whitehorse, YT, CA Y1A 2C6",2020-06-22,NA
22358,Liquor Store Clerk,Yukon Liquor Corporation - Whitehorse Liquor Store,"Whitehorse, YT, CA Y1A 2C6",2020-06-05,NA
22374,Project Manager,"Energy, Mines & Resources - Land Use","Whitehorse, YT, CA Y1A 2C6",2020-06-05,NA
22387,Infection Control Nurse,"Health & Social Services - Continuing Care, Program Management","Whitehorse, YT, CA Y1A 2C6",2020-06-05,NA
22366,Manager - Community Mental Wellness and Substance Use Programs,Health & Social Services - MWSU – Regional – Activity Management,"Whitehorse, YT, CA Y1A 2C6",2020-06-05,NA
22381,Program Technician - Geospatial,Environment - ENV-Admin-Habitat & Planning,"Whitehorse, YT, CA Y1A 2C6",2020-06-05,NA
22416,Bilingual HR Service Representative,Public Service Commission - Human Resources Shared Services,"Whitehorse, YT, CA Y1A 2C6",2020-06-08,NA
22196,Superintendent,Education - Superintendents' Office,"Whitehorse, YT, CA Y1A 2C6",2020-06-09,NA
22460,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Old Crow Health Centre","Old Crow, YT, CA Y0B 1N0",2020-08-26,NA
22461,Primary Health Care Nurse,"Health & Social Services - Community Nursing, Mayo Health Centre","Mayo, YT, CA Y0B 1M0",2020-08-26,NA
22439,Administrative Assistant,YG - Yukon Government,"Beaver Creek, YT, CA Y0B 1A0Carcross, YT, CA Y0B 1B0Carmacks, YT, CA Y0B 1C0Dawson City, YT, CA Y0B 1G0Faro, YT, CA Y0B 1K0Haines Junction, YT, CA Y0B 1L0Mayo, YT, CA Y0B 1M0Old Crow, YT, CA Y0B 1N0Pelly Crossing, YT, CA Y0B 1P0Ross River, YT, CA Y0B 1S0Teslin, YT, CA Y0A 1B0Watson Lake, YT, CA Y0A 1C0Whitehorse, YT, CA Y1A 2C6 (Primary)",2020-08-26,NA
22400,Plumber,Highways & Public Works - Central Region,"Whitehorse, YT, CA Y1A 2C6",2020-06-10,NA
22435,Technology Infrastructure Specialist,Education - ITSS,"Whitehorse, YT, CA Y1A 2C6",2020-06-10,NA
22478,Director - Training Programs,Education - Training Program - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-06-10,NA
22482,Manager - Policy,Highways & Public Works - CS - Policy,"Whitehorse, YT, CA Y1A 2C6",2020-06-10,NA
22514,Environmental Health Officer,"Health & Social Services - Community Health, Environmental Health","Whitehorse, YT, CA Y1A 2C6",2020-06-11,NA
22462,Policy Advisor,"Energy, Mines & Resources - Corporate Policy & Planning","Whitehorse, YT, CA Y1A 2C6",2020-06-11,NA
22494,Community Development Advisor,Economic Development - Community Development,"Whitehorse, YT, CA Y1A 2C6",2020-06-11,NA
22483,SART Support Worker,Justice - Victim Services - Director Operations,"Whitehorse, YT, CA Y1A 2C6",2020-06-29,NA
22517,Engineer in Training,Highways & Public Works - HwyEngineerPayrollSuspens,"Whitehorse, YT, CA Y1A 2C6",2020-06-15,NA
21149,Community Mental Health Nurse,Health & Social Services - MWSU – Regional South – Watson Lake Hub,"Dawson City, YT, CA Y0B 1G0Watson Lake, YT, CA Y0A 1C0 (Primary)Whitehorse, YT, CA Y1A 2C6",2020-08-14,NA
22555,Regional Program Manager,Highways & Public Works - HPW TEB Other Administration,"Whitehorse, YT, CA Y1A 2C6",2020-06-23,NA
22567,Human Resource Consultant I&II,YG - Yukon Government,"Whitehorse, YT, CA Y1A 2C6",2020-09-04,NA
22559,ATIPP Analyst,Environment - ENV-CS-IMT Management,"Whitehorse, YT, CA Y1A 2C6",2020-06-16,NA
22581,Manager - Resident Care,"Health & Social Services - Continuing Care, Thomson Centre, Nursing","Whitehorse, YT, CA Y1A 2C6",2020-06-17,NA
22583,Manager - Financial Operations,Justice - Finance & Administration,"Whitehorse, YT, CA Y1A 2C6",2020-06-03,NA
22592,Aboriginal Programming Coordinator,Public Service Commission - Organizational Development,"Whitehorse, YT, CA Y1A 2C6",2020-06-17,NA
22594,Procurement Advisor,Community Services - Infrastructure Development - Infrastructure Development - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-06-17,NA
22623,Home Support Worker,"Health & Social Services - Intermediate and Community Care, Home Support - Home Care","Haines Junction, YT, CA Y0B 1L0",2020-06-18,NA
22647,Primary Care Paramedic,Community Services - Protective Services - Emergency Medical Services - Emergency Medical Services-Whitehorse,"Whitehorse, YT, CA Y1A 2C6",2020-06-19,NA
22660,Licensing Officer,Executive Council Office - Yukon Water Board Administration,"Whitehorse, YT, CA Y1A 2C6",2020-06-19,NA
22666,"Child, Youth & Family Clinical Counsellor",Health & Social Services - MWSU – Regional South – Watson Lake Hub,"Carcross, YT, CA Y0B 1B0 (Primary)Carmacks, YT, CA Y0B 1C0Dawson City, YT, CA Y0B 1G0Haines Junction, YT, CA Y0B 1L0Teslin, YT, CA Y0A 1B0",2020-09-08,NA
22235,Managing Counsel - Litigation Group,Justice - Litigation Group,"Whitehorse, YT, CA Y1A 2C6",2020-06-12,NA
22696,Facilities and Material Management Administrator,Justice - Finance & Administration,"Whitehorse, YT, CA Y1A 2C6",2020-06-24,NA
22692,Rehabilitation Assistant,"Health & Social Services - Intermediate and Community Care, Therapies - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-06-24,NA
22694,Land and Resource Planner,"Energy, Mines & Resources - Community Land Planning","Whitehorse, YT, CA Y1A 2C6",2020-06-26,NA
22760,Screener,Health & Social Services - Continuing Care - Whistle Bend,"Whitehorse, YT, CA Y1A 2C6",2020-09-14,NA
22752,Manager - Accommodation and Return to Work Services,"Public Service Commission - Health, Safety & Disabilty Mgt","Whitehorse, YT, CA Y1A 2C6",2020-07-06,NA
22738,Aboriginal Programming Coordinator,Public Service Commission - Organizational Development,"Whitehorse, YT, CA Y1A 2C6",2020-06-26,NA
22785,Project Manager,Environment - ENV-MC- SARU Assessment,"Whitehorse, YT, CA Y1A 2C6",2020-06-30,NA
22110,Enterprise Geomatics Manager,Highways & Public Works - ICT - e-Services,"Whitehorse, YT, CA Y1A 2C6",2020-06-30,NA
22830,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Teslin Health Centre","Teslin, YT, CA Y0A 1B0",2020-09-18,NA
22813,Safety Coordinator,Highways & Public Works - RS - Building Dev Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-07-02,NA
22826,Water Information Specialist,Environment - ENV-MC-OPS-Water Resources,"Whitehorse, YT, CA Y1A 2C6",2020-07-02,NA
22853,Finance & Budget Analyst,Highways & Public Works - HPW Maintenance Administration,"Whitehorse, YT, CA Y1A 2C6",2020-07-03,NA
22854,Director - Population and Public Health Evidence and Evaluation,Health & Social Services - Deputy Ministers Office,"Whitehorse, YT, CA Y1A 2C6",2020-07-17,NA
22859,Manager - Policy and Compliance,Finance - Policy & Compliance,"Whitehorse, YT, CA Y1A 2C6",2020-07-06,NA
22868,Corrections Officer I,Justice - Whitehorse Correctional Centre,"Whitehorse, YT, CA Y1A 2C6",2020-07-06,NA
22879,Heavy Equipment Operator II,Highways & Public Works - HPW TMBHighways Payroll Suspense,"Beaver Creek, YT, CA Y0B 1A0",2020-07-06,NA
22856,Project Control and Standards Technical Officer,Highways & Public Works - TD - Engineering Admin,"Whitehorse, YT, CA Y1A 2C6",2020-07-13,NA
22911,Service Writer,SOA Fleet Management - FM - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-07-08,NA
22914,Custodial Worker,"Health & Social Services - Community Nursing, Old Crow Health Centre","Old Crow, YT, CA Y0B 1N0",2020-07-08,NA
22936,Infectious Disease Nurse,"Health & Social Services - Community Health, Yukon Communicable Disease Control","Whitehorse, YT, CA Y1A 2C6",2020-07-16,NA
22952,Chief Legislative Counsel,Justice - Legal Counsel English,"Whitehorse, YT, CA Y1A 2C6",2020-07-16,NA
22954,Community Safety & Policing Coordinator,"Justice - Director, Policing and Investigation","Whitehorse, YT, CA Y1A 2C6",2020-07-20,NA
22965,Senior Communications Advisor,Public Service Commission - Corporate Human Resources and Diversity Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-13,NA
22956,Family Support Worker,"Health & Social Services - F&CS Early Childhood Development, Family Supports","Whitehorse, YT, CA Y1A 2C6",2020-07-27,NA
22989,Social Worker - Disability Services,Health & Social Services - Services To Persons with Disabilities - Activity Management,"Whitehorse, YT, CA Y1A 2C6",2020-07-15,NA
22995,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Ross River Health Centre","Ross River, YT, CA Y0B 1S0",2020-09-30,NA
23009,"Director, Fish and Wildlife",Environment - ENV-NR-Fish & Wildlife Director,"Whitehorse, YT, CA Y1A 2C6",2020-07-15,NA
22156,Occupational Therapist,"Health & Social Services - Intermediate and Community Care, Therapies - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-06-30,NA
23020,Operations Assistant,Highways & Public Works - Northern Region,"Dawson City, YT, CA Y0B 1G0",2020-07-16,NA
23042,Indigenous Guardians Liaison,Environment - ENV-NR-Parks Planning,"Whitehorse, YT, CA Y1A 2C6",2020-07-30,NA
23050,Victim Services Worker,Justice - Victim Services - Operations,"Whitehorse, YT, CA Y1A 2C6",2020-07-27,NA
23055,Victim Services Worker,Justice - Victim Services - Operations,"Watson Lake, YT, CA Y0A 1C0",2020-08-03,NA
23061,Water and Wastewater Supervisor,Community Services - CS-CD-CO DC Plant,"Dawson City, YT, CA Y0B 1G0",2020-08-17,NA
23064,Technical Services Librarian,Community Services - Technical Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-20,NA
23121,Project Manager,Highways & Public Works - HPW TPB Planning Units,"Whitehorse, YT, CA Y1A 2C6",2020-07-22,NA
23122,Business Improvement Analyst,Highways & Public Works - TPB Administration for HPW-Transportation Planning Branch,"Whitehorse, YT, CA Y1A 2C6",2020-07-22,NA
22999,Telehealth and Program Assistant,"Health & Social Services - Community Health, Community Nursing Management","Whitehorse, YT, CA Y1A 2C6",2020-07-22,NA
23100,Registered Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-07-22,NA
22854,Director - Population and Public Health Evidence and Evaluation,Health & Social Services - Deputy Ministers Office,"Whitehorse, YT, CA Y1A 2C6",2020-07-29,NA
23185,Facilities and Material Management Administrator,Environment - ENV-Client Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-27,NA
23064,Technical Services Librarian,Community Services - Technical Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-22,NA
23194,Access and Privacy Analyst,Highways & Public Works - ICT - Corporate Information Management - ATIPP,"Whitehorse, YT, CA Y1A 2C6",2020-07-28,NA
22170,Home Care RN,"Health & Social Services - Intermediate and Community Care, Professional Services - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-07-14,NA
23224,Translator,French Language Services Directorate,"Whitehorse, YT, CA Y1A 2C6",2020-08-14,NA
23225,Dietary Aide,"Health & Social Services - Extended/Complex Care CRP, Food Services - Copper Ridge","Whitehorse, YT, CA Y1A 2C6",2020-07-29,NA
23245,Residence Supervisor,Education - Student Accommodation,"Whitehorse, YT, CA Y1A 2C6",2020-07-30,NA
23249,Occupational Therapist,Education - Student Support Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-30,NA
23250,Educational Psychologist,Education - Student Support Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-30,NA
23254,Internal Auditor - Senior Manager,Executive Council Office - Government Audit Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-31,NA
23255,Internal Auditor (Intermediary),Executive Council Office - Government Audit Services,"Whitehorse, YT, CA Y1A 2C6",2020-07-31,NA
23226,Director - Human Resources,YG - Yukon Government,"Whitehorse, YT, CA Y1A 2C6",2020-09-18,NA
23270,Program Manager Asset Management,Highways & Public Works - HPW TPB Planning Units,"Whitehorse, YT, CA Y1A 2C6",2020-08-03,NA
23314,Registered Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-08-04,NA
23317,Metrics & Systems Architect,"Public Service Commission - People Metrics, Analytics & Projects","Whitehorse, YT, CA Y1A 2C6",2020-08-04,NA
23354,Safety Trainer,Highways & Public Works - TM - Payroll Suspence,"Whitehorse, YT, CA Y1A 2C6",2020-08-06,NA
23402,Communications and Social Marketing Analyst,Health & Social Services - Deputy Ministers Office,"Whitehorse, YT, CA Y1A 2C6",2020-08-07,NA
23383,Cleaning Attendant,Highways & Public Works - Northern Region,"Old Crow, YT, CA Y0B 1N0",2020-10-23,NA
23178,Corrections Officer I - Trainee,Justice - Whitehorse Correctional Centre,"Whitehorse, YT, CA Y1A 2C6",2020-08-10,NA
23415,Home Support Worker,"Health & Social Services - Intermediate and Community Care, Home Support - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-08-10,NA
